"ProjectName","RepositoryName","RepositoryId","AlertId","AlertType","Title","Severity","State","Tool","FirstDetectionDate","LastDetectionDate","IntroductionDate","GitRef","Confidence"
"AKS_agents_002","ADO_az-devops-agents-k8s","7f65b40d-6166-4d06-9106-5b7acf2a1e37","149","secret","Azure DevOps legacy personal access token (PAT)","critical","active","Advanced Security Secrets Scanning","2026-01-20 5:14:30 PM","2026-01-20 5:14:30 PM","2024-04-07 3:02:42 AM",,"high"
"HealthInsuranceManager","HealthInsuranceManager","b7416e32-4a9d-4dc4-a45e-139d99b61f10","119","secret","ADO or ODBC SQL legacy credential","critical","active","Advanced Security Secrets Scanning","2025-07-07 5:41:53 PM","2026-03-27 1:02:55 AM","2025-07-07 5:40:39 PM",,"high"
"AKS_agents_005","ADO_az-devops-agents-k8s","b40b178e-7cce-4bcc-b4a1-0fcaab19fd5a","172","secret","Azure DevOps legacy personal access token (PAT)","critical","active","Advanced Security Secrets Scanning","2026-02-04 1:18:35 PM","2026-02-04 1:18:35 PM","2024-04-07 3:02:42 AM",,"high"
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","148","code","SQL query built from user-controlled sources (cs/sql-injection)","high","active","CodeQL","2025-12-04 7:39:01 PM","2025-12-04 8:36:12 PM","2025-12-04 7:35:07 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","147","code","Uncontrolled data used in path expression (cs/path-injection)","high","active","CodeQL","2025-12-04 7:39:01 PM","2025-12-04 8:36:12 PM","2025-12-04 7:35:07 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","146","secret","ADO or ODBC SQL legacy credential","critical","active","Advanced Security Secrets Scanning","2025-12-04 7:22:35 PM","2026-03-26 8:17:01 PM","2025-12-04 7:12:57 PM",,"high"
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","145","secret","ADO or ODBC SQL legacy credential","critical","active","Advanced Security Secrets Scanning","2025-12-04 7:22:35 PM","2026-03-26 8:17:01 PM","2025-12-04 7:12:57 PM",,"high"
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","144","secret","Picatic API key","critical","active","Advanced Security Secrets Scanning","2025-12-04 7:22:35 PM","2025-12-27 12:52:10 AM","2025-12-04 7:12:57 PM",,"high"
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","143","code","Useless assignment to local variable (js/useless-assignment-to-local)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","142","code","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","medium","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","141","code","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","medium","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","140","code","Unneeded defensive code (js/unneeded-defensive-code)","note","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","139","code","Unneeded defensive code (js/unneeded-defensive-code)","note","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","138","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","137","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","136","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","135","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","134","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","133","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","132","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","131","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","130","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","129","code","Useless conditional (js/trivial-conditional)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","128","code","Duplicate character in character class (js/regex/duplicate-in-character-class)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","127","code","Self assignment (js/redundant-assignment)","warning","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","126","code","Property access on null or undefined (js/property-access-on-non-object)","error","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","125","code","Unsafe HTML constructed from library input (js/html-constructed-from-input)","medium","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"SQ","SQ","817f72fc-a366-4b76-a8af-b3ab3070552c","124","code","Unsafe HTML constructed from library input (js/html-constructed-from-input)","medium","active","CodeQL","2025-12-04 7:04:28 PM","2025-12-04 8:36:12 PM","2025-12-04 7:00:44 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1570","code","Deploy app service plan instances using availability zones in supported regions to ensure high availability and resilience. (Azure.AppService.AvailabilityZone)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1569","code","Enable container soft delete on Storage Accounts. (Azure.Storage.ContainerSoftDelete)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1568","code","Storage Accounts should only accept explicitly allowed traffic. (Azure.Storage.Firewall)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1567","code","Storage Accounts should not accept weak or deprecated transport protocols for client-server communication. (Azure.Storage.MinTLS)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1566","code","Storage Accounts should only accept authorized requests. (Azure.Storage.BlobPublicAccess)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1565","code","Enable blob soft delete on Storage Accounts. (Azure.Storage.SoftDelete)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1564","code","Storage Accounts using the LRS SKU are only replicated within a single zone. (Azure.Storage.UseReplication)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1563","code","Azure resources should be tagged using a standard convention. (Azure.Resource.UseTags)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1562","code","Disable client affinity for stateless services. (Azure.AppService.ARRAffinity)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1561","code","Configure managed identities to access Azure resources. (Azure.AppService.ManagedIdentity)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1560","code","Web apps should disable insecure FTP and configure SFTP when required. (Azure.AppService.WebSecureFtp)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1559","code","Configure a dedicated path for health probe requests. (Azure.AppService.WebProbePath)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1558","code","Configure and enable instance health probes. (Azure.AppService.WebProbe)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1557","code","Use HTTP/2 instead of HTTP/1.x to improve protocol efficiency. (Azure.AppService.HTTP2)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1556","code","Configure Always On for App Service apps. (Azure.AppService.AlwaysOn)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1555","code","Use at least a Standard App Service Plan. (Azure.AppService.MinPlan)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1554","code","App Service Plan should use a minimum number of instances for failover. (Azure.AppService.PlanInstanceCount)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1550","code","Ensure FTP deployments are disabled (Ensure FTP deployments are disabled)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1549","code","Ensure that Managed identity provider is enabled for web apps (Ensure that Managed identity provider is enabled for web apps)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1548","code","Ensure that &#39;HTTP Version&#39; is the latest, if used to run the Function app (Ensure that &#39;HTTP Version&#39; is the latest, if used to run the Function app)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1547","code","Ensure Storage Account is using the latest version of TLS encryption (Ensure Storage Account is using the latest version of TLS encryption)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1546","code","Ensure Storage Accounts adhere to the naming rules (Ensure Storage Accounts adhere to the naming rules)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
